
        2024-01-23T18:52:01.890Z; 
        /users/; ::ffff:172.21.0.1; 
        {"login":"test","password":"Złota egida"}; 
        BadRequest: errors.loginInUse;
        
2024-01-23T18:52:37.958Z; /users/; ::ffff:172.21.0.1; {"login":"test","password":"Złota egida"}; BadRequest: errors.loginInUse;
2024-01-23T18:53:02.884Z; POST; /users/; ::ffff:172.21.0.1; {"login":"test","password":"Złota egida"}; BadRequest: errors.loginInUse;
2024-01-27T08:57:28.388Z; POST; /users/; ::ffff:172.21.0.1; {"username":"test","password":"Złota egida"}; ValidateError;
2024-01-27T08:57:47.415Z; POST; /users/; ::ffff:172.21.0.1; {"login":"test","password":"Złota egida"}; BadRequest: errors.loginInUse;
2024-01-27T08:57:56.765Z; POST; /users/; ::ffff:172.21.0.1; {"login":"tester","password":"password"}; NotFound: errors.userNotFound;
2024-01-27T08:58:04.565Z; POST; /users/; ::ffff:172.21.0.1; {"login":"tester","password":"password"}; NotFound: errors.userNotFound;
2024-01-27T09:00:02.115Z; POST; /users/; ::ffff:172.21.0.1; {"login":"tester","password":"password"}; BadRequest: errors.loginInUse;
2024-01-27T09:00:48.186Z; GET; /users/mb39xqx9yn69ylwl; ::ffff:172.21.0.1; {"login":"admin","password":"secreat"}; BadRequest: errors.userNotFound;
2024-01-27T09:01:27.971Z; GET; /users/mb39xqx9yn69ylwl; ::ffff:172.21.0.1; {"login":"admin","password":"secreat"}; BadRequest: errors.userNotFound;
2024-01-27T09:08:33.413Z; GET; /users/xc9wtaub6qphyvra; ::ffff:172.21.0.1; {"login":"admin","password":"secreat"}; BadRequest: errors.userNotFound;
2024-01-27T09:08:49.063Z; GET; /users/xc9wtaub6qphyvra; ::ffff:172.21.0.1; {"login":"admin","password":"secreat"}; BadRequest: errors.userNotFound;
2024-01-27T09:08:50.070Z; GET; /users/xc9wtaub6qphyvra; ::ffff:172.21.0.1; {"login":"admin","password":"secreat"}; BadRequest: errors.userNotFound;
2024-01-27T09:25:43.088Z; POST; /users/; ::ffff:172.21.0.1; {"login":"tester","password":"password"}; BadRequest: errors.loginInUse;
2024-01-27T09:26:02.414Z; GET; /users/mb39xqx9yn69ylwl; ::ffff:172.21.0.1; {"login":"admin","password":"secreat"}; BadRequest: errors.userNotFound;
2024-01-27T09:26:43.900Z; POST; /users/login; ::ffff:172.21.0.1; {"login":"tester","password":"password1"}; BadRequest: errors.incorrectCredentials;
